ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 361962672, 0, 161940, 161940, 161940, 1, 1
core, write_reqs, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, split_write_reqs, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 361962672, 0, 105685, 105685, 105685, 1, 1
core, cycles_no_issue, , Accumulator, 361962672, 0, 762330, 762330, 762330, 1, 1
core, total_bytes_read, , Accumulator, 361962672, 0, 1295520, 10364160, 161940, 8, 8
core, total_bytes_write, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 361962672, 0, 5733731, 291621469, 161940, 1, 55
core, time, , Accumulator, 361962672, 0, 361962, 131016489444, 1, 361962, 361962
core, cycles_hit_fence, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 361962672, 0, 56254, 56254, 56254, 1, 1
core, cycles_max_reorder, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 361962672, 0, 868016, 868016, 868016, 1, 1
cache, prefetch_opportunities, , Accumulator, 361962672, 0, 40485, 40485, 40485, 1, 1
cache, prefetches_issued, , Accumulator, 361962672, 0, 14809, 14809, 14809, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 361962672, 0, 616, 616, 616, 1, 1
cache, prefetches_canceled_by_history, , Accumulator, 361962672, 0, 25676, 25676, 25676, 1, 1
cache, Prefetch_requests, , Accumulator, 361962672, 0, 14809, 14809, 14809, 1, 1
cache, Prefetch_drops, , Accumulator, 361962672, 0, 2748, 2748, 2748, 1, 1
cache, stateEvent_GetS_I, , Accumulator, 361962672, 0, 15206, 15206, 15206, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_S, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_M, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_I, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_S, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_M, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSResp_IS, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_IS, , Accumulator, 361962672, 0, 15204, 15204, 15204, 1, 1
cache, stateEvent_GetXResp_IM, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_SM, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_I, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_S, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IS, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IM, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SM, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SB, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IB, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_I, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_M, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IS, , Accumulator, 361962672, 0, 0, 0, 0, 0, 0
