ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 234577095, 0, 79697, 79697, 79697, 1, 1
core, write_reqs, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, split_write_reqs, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 234577095, 0, 79689, 79689, 79689, 1, 1
core, cycles_no_issue, , Accumulator, 234577095, 0, 482845, 482845, 482845, 1, 1
core, total_bytes_read, , Accumulator, 234577095, 0, 637576, 5100608, 79697, 8, 8
core, total_bytes_write, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 234577095, 0, 3728553, 193130447, 79697, 6, 56
core, time, , Accumulator, 234577095, 0, 234577, 55026368929, 1, 234577, 234577
core, cycles_hit_fence, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 234577095, 0, 8, 8, 8, 1, 1
core, cycles_max_reorder, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 234577095, 0, 562535, 562535, 562535, 1, 1
cache, prefetch_opportunities, , Accumulator, 234577095, 0, 19924, 19924, 19924, 1, 1
cache, prefetches_issued, , Accumulator, 234577095, 0, 4292, 4292, 4292, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 234577095, 0, 310, 310, 310, 1, 1
cache, prefetches_canceled_by_history, , Accumulator, 234577095, 0, 15632, 15632, 15632, 1, 1
cache, Prefetch_requests, , Accumulator, 234577095, 0, 4292, 4292, 4292, 1, 1
cache, Prefetch_drops, , Accumulator, 234577095, 0, 1841, 1841, 1841, 1, 1
cache, stateEvent_GetS_I, , Accumulator, 234577095, 0, 4362, 4362, 4362, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSResp_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_IS, , Accumulator, 234577095, 0, 4361, 4361, 4361, 1, 1
cache, stateEvent_GetXResp_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_SM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_SM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_SM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_SM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_I, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_IB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_GetS, , Accumulator, 234577095, 0, 4362, 4362, 4362, 1, 1
cache, eventSent_GetX, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_GetSX, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_PutM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_NACK, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLine, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLineInv, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_FetchResp, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_FetchXResp, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_AckInv, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_GetSResp, , Accumulator, 234577095, 0, 79697, 79697, 79697, 1, 1
cache, eventSent_GetXResp, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLineResp, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_Put, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_Get, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_AckMove, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomReq, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomResp, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomAck, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, EventStalledForLockedCacheline, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, evict_I, , Accumulator, 234577095, 0, 31, 31, 31, 1, 1
cache, evict_S, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, evict_M, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, evict_IS, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, evict_IM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, evict_SM, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, evict_SB, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_GetS_hit, , Accumulator, 234577095, 0, 8677680, 1075009388, 77786, 15, 134
cache, latency_GetS_miss, , Accumulator, 234577095, 0, 242991, 30898973, 1911, 126, 128
cache, latency_GetX_hit, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_GetX_miss, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_GetX_upgrade, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_hit, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_miss, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_upgrade, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_FlushLine, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_FlushLine_fail, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_FlushLineInv, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
cache, latency_FlushLineInv_fail, , Accumulator, 234577095, 0, 0, 0, 0, 0, 0
