ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 3352680, 0, 1000, 1000, 1000, 1, 1
core, write_reqs, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, split_write_reqs, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 3352680, 0, 957, 957, 957, 1, 1
core, cycles_no_issue, , Accumulator, 3352680, 0, 7082, 7082, 7082, 1, 1
core, total_bytes_read, , Accumulator, 3352680, 0, 8000, 64000, 1000, 8, 8
core, total_bytes_write, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 3352680, 0, 52916, 2800406, 1000, 52, 55
core, time, , Accumulator, 3352680, 0, 3352, 11235904, 1, 3352, 3352
core, cycles_hit_fence, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 3352680, 0, 43, 43, 43, 1, 1
core, cycles_max_reorder, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 3352680, 0, 8040, 8040, 8040, 1, 1
cache, prefetch_opportunities, , Accumulator, 3352680, 0, 250, 250, 250, 1, 1
cache, prefetches_issued, , Accumulator, 3352680, 0, 125, 125, 125, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, prefetches_canceled_by_history, , Accumulator, 3352680, 0, 125, 125, 125, 1, 1
cache, Prefetch_requests, , Accumulator, 3352680, 0, 125, 125, 125, 1, 1
cache, Prefetch_drops, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_I, , Accumulator, 3352680, 0, 250, 250, 250, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSResp_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_IS, , Accumulator, 3352680, 0, 249, 249, 249, 1, 1
cache, stateEvent_GetXResp_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_SM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_SM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_IB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_SM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInv_IB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_SM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_ForceInv_IB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLine_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineInv_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_I, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_IB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, stateEvent_FlushLineResp_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_GetS, , Accumulator, 3352680, 0, 250, 250, 250, 1, 1
cache, eventSent_GetX, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_GetSX, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_PutM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_NACK, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLine, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLineInv, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_FetchResp, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_FetchXResp, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_AckInv, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_GetSResp, , Accumulator, 3352680, 0, 1000, 1000, 1000, 1, 1
cache, eventSent_GetXResp, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_FlushLineResp, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_Put, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_Get, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_AckMove, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomReq, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomResp, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, eventSent_CustomAck, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, EventStalledForLockedCacheline, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, evict_I, , Accumulator, 3352680, 0, 31, 31, 31, 1, 1
cache, evict_S, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, evict_M, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, evict_IS, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, evict_IM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, evict_SM, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, evict_SB, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_GetS_hit, , Accumulator, 3352680, 0, 110752, 14018930, 875, 126, 131
cache, latency_GetS_miss, , Accumulator, 3352680, 0, 15816, 2001242, 125, 126, 128
cache, latency_GetX_hit, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_GetX_miss, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_GetX_upgrade, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_hit, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_miss, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_GetSX_upgrade, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_FlushLine, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_FlushLine_fail, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_FlushLineInv, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, latency_FlushLineInv_fail, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSHit_Arrival, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetXHit_Arrival, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSXHit_Arrival, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSHit_Blocked, , Accumulator, 3352680, 0, 875, 875, 875, 1, 1
cache, GetXHit_Blocked, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSXHit_Blocked, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSMiss_Arrival, , Accumulator, 3352680, 0, 250, 250, 250, 1, 1
cache, GetXMiss_Arrival, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSXMiss_Arrival, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
cache, GetSMiss_Blocked, , Accumulator, 3352680, 0, 0, 0, 0, 0, 0
