ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
core, read_reqs, , Accumulator, 373921398, 0, 161900, 161900, 161900, 1, 1
core, write_reqs, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, custom_reqs, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, split_read_reqs, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, split_write_reqs, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, split_custom_reqs, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, cycles_with_issue, , Accumulator, 373921398, 0, 122209, 122209, 122209, 1, 1
core, cycles_no_issue, , Accumulator, 373921398, 0, 774484, 774484, 774484, 1, 1
core, total_bytes_read, , Accumulator, 373921398, 0, 1295200, 10361600, 161900, 8, 8
core, total_bytes_write, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, total_bytes_custom, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, req_latency, , Accumulator, 373921398, 0, 5934102, 298748578, 161900, 1, 55
core, time, , Accumulator, 373921398, 0, 373921, 139816914241, 1, 373921, 373921
core, cycles_hit_fence, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, cycles_max_issue, , Accumulator, 373921398, 0, 39690, 39690, 39690, 1, 1
core, cycles_max_reorder, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
core, cycles, , Accumulator, 373921398, 0, 896694, 896694, 896694, 1, 1
cache, prefetch_opportunities, , Accumulator, 373921398, 0, 40475, 40475, 40475, 1, 1
cache, prefetches_issued, , Accumulator, 373921398, 0, 24246, 24246, 24246, 1, 1
cache, prefetches_canceled_by_page_boundary, , Accumulator, 373921398, 0, 85, 85, 85, 1, 1
cache, prefetches_canceled_by_history, , Accumulator, 373921398, 0, 16229, 16229, 16229, 1, 1
cache, Prefetch_requests, , Accumulator, 373921398, 0, 24246, 24246, 24246, 1, 1
cache, Prefetch_drops, , Accumulator, 373921398, 0, 7423, 7423, 7423, 1, 1
cache, stateEvent_GetS_I, , Accumulator, 373921398, 0, 37463, 37463, 37463, 1, 1
cache, stateEvent_GetS_S, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetS_M, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_I, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_S, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetX_M, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_I, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_S, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSX_M, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetSResp_IS, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_IS, , Accumulator, 373921398, 0, 37462, 37462, 37462, 1, 1
cache, stateEvent_GetXResp_IM, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_GetXResp_SM, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_I, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_S, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IS, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IM, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SM, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_SB, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Inv_IB, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_I, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_M, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IS, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IM, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_SB, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_FetchInvX_IB, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
cache, stateEvent_Fetch_I, , Accumulator, 373921398, 0, 0, 0, 0, 0, 0
